L,l,lp,alpha,gama,Ip,phi_0
0.092,0.052396258524222264,0.06183850882515891,0.6981317007977318,0.5759586531581288,0.00181,0
0.101,0.05288232812688557,0.06725145018828627,0.6544984694978736,0.4991641660703783,0.00187,0
0.11,0.06014777209915516,0.06984494959632095,0.6108652381980153,0.5166174585903215,0.00195,0
0.115,0.05552208542570053,0.07514405007887633,0.582939970166106,0.418879020478639,0.00199,0
0.128,0.06435545821130306,0.07732441911418365,0.4886921905584123,0.4014257279586957,0.00209,0
0.14,0.06649628957663686,0.0879616179885014,0.5061454830783556,0.3752457891787808,0.00220,0
0.145,0.06723232519593267,0.08922902678986012,0.4468042885105484,0.3316125578789226,0.00226,0
0.149,0.0707105210507175,0.08900106673942904,0.4153883619746504,0.3263765701229396,0.00229,0
0.156,0.0698820027007943,0.0984384336894917,0.460766922526503,0.3211405823669566,0.00236,0
0.16,0.0748625246834441,0.09671422281335472,0.4223696789826278,0.3228859116189509,0.00240,0
0.168,0.07612506801437408,0.10093664581919175,0.3717551306747922,0.2775073510670984,0.00249,0
0.181,0.08036522319632042,0.108609595038736,0.3403392041388942,0.2495820830351891,0.00265,0
0.19,0.08443043174983927,0.11186722654906142,0.2932153143350474,0.2199114857512855,0.00276,0
0.2,0.08615470754530755,0.12064721979030878,0.3054326190990076,0.2164208272472968,0.00289,0
0.21,0.09145129143083139,0.12294330001038975,0.2356194490192344,0.1745329251994329,0.00301,0
